F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,OUTCOME
17590.08009,17698.68628,18028.18642,18611.67313,19511.59922,20837.75529,22830.31035,25977.71079,31557.78642,44546.38598,6554116.105,17600.14455,17708.74135,18038.15658,18621.4707,19521.06862,20846.45369,22835.12759,25983.57336,31565.74578,44558.18968,6556256.843,0
19684.59479,19806.92707,20184.66789,20853.58619,21884.50877,23419.36281,25686.74186,29227.87603,35468.25463,49937.81224,6954819.02,19691.94581,19814.3784,20192.12446,20861.27559,21892.56522,23427.19771,25695.34,29238.38369,35480.8259,49955.77477,6957319.376,0
17513.09494,17622.53567,17956.26526,18548.37408,19462.36762,20809.08602,22817.80127,25962.29065,31574.20958,44568.92039,6555852.851,17517.62935,17626.99794,17960.75099,18552.93848,19467.18886,20813.89483,22823.03762,25968.24832,31581.01225,44579.04839,6557873.326,0
19690.19048,19812.51076,20190.39817,20859.55202,21890.82889,23427.37067,25695.631,29238.16595,35479.31041,49997.76255,6955874.182,19690.19048,19812.51076,20190.39817,20859.55202,21890.82889,23427.37067,25695.631,29238.16595,35479.31041,50016.38579,6958385.869,0
14310.6481,14404.48301,14679.87737,15164.81932,15909.16442,17013.36644,18643.50839,20789.44423,24423.49808,34327.83222,5824435.278,19709.79249,19832.20681,20210.42036,20880.15988,21912.37177,23448.31756,25718.85992,29265.14446,35499.886,49978.63224,6960647.219,1
19698.63778,19820.9816,20199.0869,20868.59847,21900.38672,23425.74298,25699.95266,29244.51206,35484.98041,49957.53097,6962449.43,17314.82413,17424.463,17757.0635,18344.92261,19249.75536,20586.82813,22574.81871,25483.71527,30173.88291,42406.71777,6412364.469,1
15688.50744,15787.71527,16088.26097,16620.86921,17439.10465,18649.00366,20435.64406,22990.38713,26830.36452,37704.54814,6078077.127,19707.84701,19830.24271,20208.47504,20878.22259,21910.41026,23436.25169,25718.73239,29268.5366,35498.74903,49977.25614,6962812.329,1
4582.855973,4607.746083,4677.144181,4798.752365,4982.421468,5246.356143,5850.339038,6826.684541,7773.759421,10898.65199,4214412.026,4573.931217,4598.67982,4667.72748,4788.727655,4971.589,5234.221826,5836.538244,6811.181069,7758.659571,10878.49805,4214553.39,0
1583.811678,1592.320577,1618.517012,1666.246888,1757.940852,1845.870733,2020.816831,2337.594404,2943.079053,4179.354661,3689470.068,1539.838304,1548.540782,1575.984394,1630.290925,1711.687821,1843.542211,2026.523263,2285.566728,2853.222815,4072.088662,3690346.358,0
19684.54251,19806.94404,20184.69695,20853.58425,21884.45822,23418.5571,25685.87801,29227.82456,35467.77029,49940.69776,6954817.151,19691.87457,19814.3457,20192.17416,20861.29276,21892.5293,23426.44193,25695.04897,29238.36774,35480.35896,49958.68421,6957317.806,0
17655.98937,17765.67826,18107.30423,18704.73933,19629.30711,20997.70717,23029.69722,26201.63163,31799.35086,44910.53635,6583360.227,17661.09048,17770.8011,18115.91572,18710.09704,19634.76114,21003.31035,23035.59756,26207.89135,31809.30206,44925.22978,6585656.204,0
19700.63584,19822.97581,20201.07964,20870.58899,21902.38382,23427.69383,25700.29535,29244.64355,35486.29469,49959.6475,6960281.447,16471.58999,16577.83672,16894.37309,17451.7632,18309.57351,19578.218,21450.2558,24157.93666,28385.49278,39891.34704,6231896.053,1
18022.07936,18134.04439,18479.89194,19092.3175,20036.20545,21432.64166,23510.12958,26755.9188,32436.26227,45642.31377,6651887.946,18030.09767,18142.11083,18488.11128,19100.80481,20045.07665,21440.81199,23517.28714,26764.16685,32446.29766,45660.09477,6654381.013,0
18628.95318,18744.8264,19100.82608,19734.41507,20712.66389,22173.54564,24299.02867,27748.87504,33740.40235,47520.13924,6745654.422,18636.37706,18752.12458,19107.45432,19741.01556,20719.09627,22186.42101,24306.44856,27758.09313,33751.18993,47535.46775,6748000.277,0
17527.5179,17637.06581,17971.07955,18563.67865,19478.3572,20826.24412,22837.8227,25985.81092,31598.72431,44605.00328,6558528.015,17532.06634,17641.54295,17975.58027,18568.2591,19483.19511,20831.0737,22843.05587,25991.94327,31605.55983,44615.17815,6560551.81,0
16345.56834,16447.15376,16761.20461,17317.18909,18174.0986,19442.42625,21326.48402,24270.89392,29581.11818,41651.66796,6340252.628,16343.65133,16445.22439,16759.59566,17315.3642,18172.04335,19440.20851,21323.93553,24267.57688,29579.21559,41648.91331,6341306.977,0
19703.65341,19826.36066,20206.55874,20875.81317,21910.51434,23446.85708,25758.08216,29262.96056,35504.63989,50061.04997,6958404.782,19709.50865,19832.85706,20211.37258,20881.74878,21915.5722,23453.58668,25724.07761,29277.94171,35514.36688,50073.2558,6960660.487,0
1610.294768,1613.992982,1649.188668,1707.498086,1792.146348,1932.714201,2118.013919,2409.858559,2886.817121,4095.142909,3694625.789,1610.294768,1613.992982,1649.188668,1707.498086,1792.146348,1932.714201,2118.013919,2409.858559,2886.817121,4095.142909,3694625.789,0
16291.08883,16392.29333,16705.08552,17258.97172,18114.56804,19374.91969,21250.76693,24179.63375,29506.83108,41541.42259,6332816.527,16379.52059,16481.27222,16795.70936,17352.35093,18212.57753,19479.86975,21365.65967,24310.35159,29658.50655,41765.43234,6350823.492,0
19708.22997,19830.63615,20208.68229,20879.44737,21912.17002,23437.97363,25706.92577,29250.13712,35483.64658,49956.05381,6952978.431,14865.94241,14965.03684,15254.13248,15764.29219,16550.86639,17717.0943,19449.9404,22177.00696,20526.39512,28688.60206,4087140.303,1
19700,19800,20200,20800,21900,23400,25700,29200,35500,49900,6950000,19700,19800,20200,20844.56057,21875.00718,23417.23569,25685.6338,29228.66079,35455.27645,49933.38937,6955908.842,0
17600.60377,17709.15545,18038.55545,18621.80459,19521.12261,20845.9986,22832.73118,25981.22656,31559.85477,44550.78991,6554649.826,17610.6541,17719.17456,18048.4944,18631.57812,19530.56741,20854.68445,22837.55956,25987.03048,31567.85129,44562.62581,6556792.316,0
19681.43807,19803.73436,20181.41364,20850.2635,21881.0295,23414.72236,25681.98976,29223.13542,35461.74853,49925.11915,6954313.887,19688.73781,19811.15567,20188.88471,20857.97236,21889.10658,23422.6627,25690.69681,29233.0382,35474.33747,49942.82007,6956814.524,0
19700,19800,20200,20800,21900,23400,25700,29200,35500,49900,6950000,19700,19800,20200,20844.36826,21874.78257,23422.59918,25690.93641,29233.32076,35452.11368,49929.58469,6955878.725,0
14249.3953,14343.58974,14617.99772,15099.40934,15842.21973,16937.7015,18557.52072,20716.5789,24454.03062,34370.65199,5825386.505,19709.96546,19832.27572,20210.59789,20880.38724,21912.43689,23446.15495,25718.123,29267.17629,35498.50546,49976.57244,6960635.855,1
19702.90137,19825.41144,20203.40849,20872.85008,21904.66836,23439.8194,25709.41525,29254.02499,35486.03164,49959.24702,6957116.168,14500.55121,14590.66398,14869.54904,15362.64123,16122.50057,17250.79752,18917.0642,21529.76841,26098.16037,36683.52995,3184089.012,1
19705.72686,19827.95602,20206.19675,20875.76499,21907.34718,23432.78371,25699.35783,29243.0907,35484.68648,49957.18912,6956104.373,15871.34875,15970.1199,16274.82819,16814.6283,17646.64379,18883.50061,20707.97284,23561.52069,22760.09319,31996.79258,3222704.283,1
18340.80599,18454.75133,18808.40584,19435.26892,20392.2189,21907.44483,23927.5932,27221.49936,33264.73381,46766.74798,6684294.793,18340.80599,18454.75133,18808.40584,19435.26892,20392.2189,21907.44483,23927.5932,27221.49936,33264.73381,46766.74798,6684294.793,0
19825.29451,19934.60622,20334.60638,21006.64557,22038.11813,23595.60819,25836.78638,29404.21749,35631.96977,50157.89238,6964886.26,19831.96556,19941.26344,20341.43526,21013.75477,22045.73721,23603.92696,25846.29442,29415.79346,35646.4074,50176.88708,6967418.233,0
1971.306032,1981.349926,2012.308402,2065.252261,2143.135926,2281.756452,2630.064797,2903.683589,3529.712915,4889.283627,3768297.798,1971.306032,1981.349926,2012.308402,2065.252261,2143.135926,2281.756452,2630.064797,2903.683589,3529.712915,4889.283627,3768297.798,0
16342.39144,16443.6323,16756.34971,17309.92332,18162.63156,19423.9581,21294.22603,24212.7417,29525.17533,41584.92445,6338640.858,16340.26166,16441.50763,16754.24557,17307.86136,18160.6728,19422.22384,21292.98612,24212.58276,29525.83471,41585.61451,6339886.074,0
2249.363169,2260.55868,2288.492517,2337.357142,2414.057548,2618.453515,2933.965383,3324.508779,3903.866721,5468.294215,3771526.862,2249.363169,2260.55868,2288.492517,2337.357142,2414.057548,2618.453515,2933.965383,3324.508779,3903.866721,5468.294215,3771526.862,0
10678.28519,10750.67754,10982.40958,11368.36355,11951.31256,12780.45036,14091.24442,16086.43418,21486.3824,30678.1929,4821127.193,10666.4087,10766.33049,10995.79675,11380.56303,11962.63397,12788.38701,14096.18146,16091.61158,21509.18268,30688.77664,4820167.427,0
12395.48858,12434.27959,12605.88159,12879.05186,13255.91045,13825.12174,15051.19001,17751.46444,22096.45543,31747.31208,4935014.506,12395.05229,12432.39397,12603.75685,12876.63261,13253.76146,13824.64806,15061.00432,17759.33382,22102.72728,31757.18979,4936704.27,0
19880.01725,19972.02747,20344.86962,21047.05437,22100.9737,23640.19552,25980.13895,29439.28407,35645.90304,50166.45444,6965309.154,19830.15218,19950.13812,20334.78657,21010.22208,22069.803,23563.50861,25865.6838,29411.09697,35647.07063,50179.22809,6967359.201,0
19720.09957,19841.28042,20219.46143,20889.28903,21922.49143,23470.85613,25743.73088,29293.08891,35592.28975,50195.60178,6960946.16,19727.39055,19848.5225,20226.82493,20896.9703,21930.50787,23479.20611,25752.89662,29303.51465,35609.68645,50213.61944,6963449.026,0
19703.40791,19826.06546,20204.65797,20876.18246,21911.13565,23445.89659,25724.41168,29302.8134,35504.24534,50064.64787,6958273.867,19710.0723,19832.73216,20211.12569,20881.03206,21913.48586,23453.6758,25724.21797,29276.20191,35514.89167,50079.9432,6960668.916,0
15600,15700,16000,16600,17400,18600,20400,22900,26800,37700,6080000,19700,19800,20200,20900,21900,23400,25700,29300,35500,50000,6960000,1
2249.363169,2260.55868,2288.492517,2337.357142,2414.057548,2618.453515,2933.965383,3324.508779,3903.866721,5468.294215,3771526.862,2235.745115,2246.77232,2274.257385,2322.32509,2398.036799,2600.55586,2914.716953,3302.186074,3879.662761,5439.876478,3771266.746,0
19701.01998,19823.40655,20201.31928,20870.71926,21902.5527,23443.09427,25713.0508,29258.61204,35518.54085,50068.66239,6957712.274,19701.01998,19823.40655,20201.31928,20870.71926,21902.5527,23443.09427,25713.0508,29258.61204,35518.54085,50086.4487,6960212.858,0
19722.56992,19844.22426,20249.18293,20894.45246,21931.65263,23472.71232,25792.06265,29285.62667,35527.31903,50118.11618,6960443.916,19729.7422,19851.665,20256.45702,20902.17248,21939.77547,23481.17626,25801.95336,29296.16871,35539.90209,50136.74735,6962964.263,0
19704.22446,19826.62528,20205.93038,20876.98406,21917.28584,23452.54785,25750.78938,29271.42937,35503.51545,50068.63257,6958423.903,19709.65158,19832.20927,20210.79392,20880.89886,21914.00232,23453.53024,25724.14538,29271.59129,35513.14157,50080.41928,6960664.525,0
1465.560099,1474.07588,1500.674884,1550.091153,1627.098919,1756.306619,1934.151667,2179.700541,2783.320144,3861.33434,3679807.075,1672.742008,1666.859554,1706.785938,1787.808482,1888.380976,2036.202672,2165.249126,2459.729787,3028.249979,4225.931315,3719375.996,0
1526.036955,1539.336023,1570.481732,1621.887237,1703.799841,1825.259578,2004.777825,2284.447177,2777.519547,3922.924257,3689530.526,1951.757901,1958.692249,2004.836702,2072.480127,2174.778677,2344.793111,2561.033008,2918.969661,3485.195559,4954.568209,3776228.037,0
1572.978718,1585.856396,1617.764176,1672.896707,1757.543818,1881.574616,2067.300745,2355.952161,2831.035068,4008.59727,3691226.553,1534.34516,1547.282384,1578.306675,1632.016329,1714.083295,1835.049968,2015.863429,2297.058029,2774.51847,3938.411876,3685827.693,0
